keys,zh_TW,en
hud.gold_format,金幣 %d,Gold %d
hud.lives_format,生命 %d,Lives %d
hud.speed_format,%d 倍速,%dx
hud.pause,暫停,Pause
hud.resume,繼續,Resume
level.level_01.name,熱蘭遮,Zeelandia
enemy.orc_grunt.name,獸人步兵,Orc Grunt
enemy.zheng_musketeer.name,鄭軍銃卒,Zheng Musketeer
enemy.zheng_rattan.name,鄭軍藤牌兵,Zheng Rattan Shield
enemy.zheng_archer.name,鄭軍弓箭手,Zheng Archer
enemy.zheng_ironman.name,鐵人軍,Iron Man
enemy.zheng_sapper.name,掘壕隊,Zheng Sapper
enemy.zheng_chenze.name,陳澤,Chen Ze
tower.musket_tower.name,銃樓,Musket Tower
tower.hunter_tower.name,獵寮,Hunter's Lodge
status.chill.name,寒冰,Chill
status.poison.name,中毒,Poison
status.stun_shock.name,暈眩,Stun
status.sunder.name,破甲,Sunder
menu.upgrade_format,升級 %d,Upgrade %d
menu.sell_format,賣出 +%d,Sell +%d
